enterer,entry_date,subject,DOT,DOB,age_group,order,item,label,story,polarity,condition,true_answer,response,correct,response_type,justification,just_type,include
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,he has the yellow hat,,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,8,target,fit,pos,TFP,3,1,0,opposite,he has the little socks,scale,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,9,target,reach,pos,TRP,1,3,0,opposite,he's the tallest,scale,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,10,filler,scale,pos,FSP,2,3,0,opposite,becaues he's the big one,,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,11,target,weight,pos,TWP,1,3,0,opposite,big ears and big pumpkin,scale,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,big basket,scale,1
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,1,target,fit,neg,TFN,1,3,0,opposite,i like it,random,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,,none,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,3,filler,sameness,neg,FMN,2,,0,other,don't know,,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,4,target,weight,neg,TWN,3,2,0,middle,i like it,random,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,i like it,random,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,6,filler,scale,neg,FSN,2,,0,other,points at papa turtle,,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,i like it,,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,i like it,random,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,9,target,reach,pos,TRP,1,3,0,opposite,i like it,random,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,i like it,,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,11,target,weight,pos,TWP,1,3,0,opposite,i like it,random,0
yadav,2018-01-27,5,2018-01-27,2014-03-03,3,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,i like it,random,0
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,smallest,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,longest,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,doesn't match,,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,big,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,5,target,capacity,neg,TCN,1,1,1,adult-like,smallest couldn't fit,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,both medium,,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,both yellow,,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,big thought he wouldn't,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,9,target,reach,pos,TRP,1,2,0,middle,medium ,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,medium ,,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,tiny/small,scale,1
yadav,2018-01-27,6,2018-01-27,2012-08-16,5,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,has the most,scale,1
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,1,target,fit,pos,TFP,3,2,0,middle,don't know,none,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,2,target,reach,pos,TRP,1,2,0,middle,,none,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,,,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,4,target,weight,pos,TWP,1,3,0,opposite,Cause I did,random,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,5,target,capacity,pos,TCP,3,1,0,opposite,Just did,random,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,distracted from here,,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,7,filler,sameness,neg,FMN,2,,0,other,,,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,8,target,fit,neg,TFN,1,,0,other,,none,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,9,target,reach,neg,TRN,3,,0,other,,none,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,10,filler,scale,neg,FSN,2,,0,other,,,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,11,target,weight,neg,TWN,3,,0,other,,,0
yadav,2018-02-05,7,2018-02-03,2013-12-16,4,POS,12,target,capacity,neg,TCN,1,,0,other,,,0
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,1,target,fit,pos,TFP,3,2,0,middle,I want to know which one is Franky,none,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,2,target,reach,pos,TRP,1,1,1,adult-like,because i'm trying to think,none,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,matches the chair,,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,4,target,weight,pos,TWP,1,1,1,adult-like,because he was able to even though it was heavy,scale,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,5,target,capacity,pos,TCP,3,1,0,opposite,because even though his basket is little he can even fit a lot of acorns in there,scale,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,because those others aren't joey,,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,because shell not matching,,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,8,target,fit,neg,TFN,1,1,1,adult-like,because she can't fit,scale,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,9,target,reach,neg,TRN,3,3,1,adult-like,because that shelf is high,scale,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,he's the middle,,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,11,target,weight,neg,TWN,3,3,1,adult-like,i just knew it,random,1
yadav,2018-02-05,8,2018-02-03,2012-12-05,5,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,he's the smallest,scale,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,1,target,fit,pos,TFP,3,3,1,adult-like,because socks,random,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,2,target,reach,pos,TRP,1,1,1,adult-like,because apples,random,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,don't know,,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,4,target,weight,pos,TWP,1,3,0,opposite,quiet from here,none,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,5,target,capacity,pos,TCP,3,1,0,opposite,,none,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,6,filler,scale,pos,FSP,2,1,0,opposite,,,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,wrong shell,,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,8,target,fit,neg,TFN,1,1,1,adult-like,,none,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,9,target,reach,neg,TRN,3,3,1,adult-like,,none,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,,,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,11,target,weight,neg,TWN,3,3,1,adult-like,,none,1
yadav,2018-02-05,9,2018-02-03,2014-01-17,4,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,,none,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,1,target,fit,pos,TFP,3,3,1,adult-like,saw it in the first page,random,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,2,target,reach,pos,TRP,1,1,1,adult-like,,none,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,"heard that name, yellow",,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,4,target,weight,pos,TWP,1,1,1,adult-like,small can't lift big,scale,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,5,target,capacity,pos,TCP,3,1,0,opposite,usually that basket can't hold a full basket,scale,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,medium backpack not big enough for the little one,,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,saw that,,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,8,target,fit,neg,TFN,1,1,1,adult-like,small mouses usually can fit,scale,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,9,target,reach,neg,TRN,3,3,1,adult-like,long caterpillars usually can reach,scale,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,listening,,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,11,target,weight,neg,TWN,3,3,1,adult-like,big rabbits can pick up heavy,scale,1
yadav,2018-02-05,10,2018-02-03,2013-09-20,4,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,small just needs two marbles to fill it up,scale,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,1,target,fit,pos,TFP,3,2,0,middle,cuz,random,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,2,target,reach,pos,TRP,1,2,0,middle,"cuz, was very unconfident in answers, often would ask experimenter what the correct answer was",random,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,,,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,4,target,weight,pos,TWP,1,2,0,middle,?,none,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,5,target,capacity,pos,TCP,3,1,0,opposite,Cuz,random,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,,,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,,,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,8,target,fit,neg,TFN,1,1,1,adult-like,waffled a bit between 1 and 3,none,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,9,target,reach,neg,TRN,3,3,1,adult-like,,none,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,10,filler,scale,neg,FSN,2,1,0,opposite,small,,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,11,target,weight,neg,TWN,3,3,1,adult-like,,none,1
yadav,2018-02-05,11,2018-02-03,2013-04-13,4,POS,12,target,capacity,neg,TCN,1,3,0,opposite,,none,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,1,target,fit,pos,TFP,3,2,0,middle,didn't know,none,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,2,target,reach,pos,TRP,1,1,1,adult-like,because apples,random,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,don't know,,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,4,target,weight,pos,TWP,1,3,0,opposite,big,scale,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,5,target,capacity,pos,TCP,3,2,0,middle,he got a lot,scale,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,medium,,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,not same,,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,8,target,fit,neg,TFN,1,3,0,opposite,big,scale,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,9,target,reach,neg,TRN,3,3,1,adult-like,so long,scale,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,yellow,,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,11,target,weight,neg,TWN,3,1,0,opposite,"too difficult, waffled between 1 and 3",scale,1
yadav,2018-02-05,12,2018-02-03,2012-08-28,5,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,"small cup, waffled between 1 and 3",scale,1
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,1,target,fit,pos,TFP,3,2,0,middle,I don't know,none,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,2,target,reach,pos,TRP,1,1,1,adult-like,I don't know,none,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,matches him,,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,4,target,weight,pos,TWP,1,1,1,adult-like,played eenie meenie minie mo to figure it out - still didn't understand,none,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,5,target,capacity,pos,TCP,3,3,1,adult-like,bc that's sammy,random,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,bc joey,,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,that's him,,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,8,target,fit,neg,TFN,1,1,1,adult-like,that's him,random,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,9,target,reach,neg,TRN,3,1,0,opposite,that one is right,random,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,10,filler,scale,neg,FSN,2,3,0,opposite,,,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,11,target,weight,neg,TWN,3,,0,other,,none,0
J,2018-02-11,14,2018-02-10,2012-11-01,5,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,,none,0
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,1,target,fit,pos,TFP,3,1,0,opposite,bc he's the littlest,scale,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,2,target,reach,pos,TRP,1,1,1,adult-like,bs he's the smallest,scale,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,wearing yellow hat,,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,4,target,weight,pos,TWP,1,1,1,adult-like,bc he's the smallest,scale,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,5,target,capacity,pos,TCP,3,3,1,adult-like,bc he's the biggest,scale,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,bc he's the medium one ,,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,bc he has a different colored shell,,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,8,target,fit,neg,TFN,1,1,1,adult-like,bc she's the smallest,scale,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,9,target,reach,neg,TRN,3,3,1,adult-like,bc its th eiggest,scale,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,yellow hat,,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,11,target,weight,neg,TWN,3,3,1,adult-like,,none,1
J,2018-02-11,15,2018-02-10,2013-06-17,4,POS,12,target,capacity,neg,TCN,1,3,0,opposite,bc its the biggest,scale,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,1,target,fit,pos,TFP,3,3,1,adult-like,bc,random,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,2,target,reach,pos,TRP,1,3,0,opposite,she knew,random,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,bc,,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,4,target,weight,pos,TWP,1,1,1,adult-like,bc he's little,scale,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,5,target,capacity,pos,TCP,3,3,1,adult-like,bc i found out,scale,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,6,filler,scale,pos,FSP,2,3,0,opposite,bc the other one's are smaller,,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,bc they don't match,,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,8,target,fit,neg,TFN,1,1,1,adult-like,the littlest bc its little,scale,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,9,target,reach,neg,TRN,3,1,0,opposite,bc its so little little,scale,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,bc theyre both middle,,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,11,target,weight,neg,TWN,3,1,0,opposite,bc its so tiny,scale,1
J,2018-02-11,16,2018-02-10,2012-04-18,5,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,bc its little,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,1,target,fit,pos,TFP,3,3,1,adult-like,bc he's the biggest,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,2,target,reach,pos,TRP,1,1,1,adult-like,bc its rare that someone tiny can reach a tree,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,bc he said he wanted to go to the chair that matched his hat,,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,4,target,weight,pos,TWP,1,1,1,adult-like,bc its rare that a tiny thing can lift a big thing,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,5,target,capacity,pos,TCP,3,1,0,opposite,bc there's so much acorns,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,6,filler,scale,pos,FSP,2,2,1,adult-like,bc she asked to wrap the medium,,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,7,filler,sameness,neg,FMN,2,2,1,adult-like,bc the others match but not him,,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,8,target,fit,neg,TFN,1,1,1,adult-like,"bc mary is the littlest, its rare that tiny things can't fit ",scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,9,target,reach,neg,TRN,3,3,1,adult-like,its rare a big thing can't reach big,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,10,filler,scale,neg,FSN,2,2,1,adult-like,bc this one has yellow,,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,11,target,weight,neg,TWN,3,3,1,adult-like,bc big ones are usually strong,scale,1
J,2018-02-11,17,2018-02-10,2011-05-22,6,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,bc usually tiny stuff can fit to reach mearbles,scale,1
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,1,target,fit,pos,TFP,3,2,0,middle,bc those socks,random,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,2,target,reach,pos,TRP,1,2,0,middle,I saw which apple,random,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,3,filler,sameness,pos,FMP,2,2,1,adult-like,bc yellow chair,,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,4,target,weight,pos,TWP,1,3,0,opposite,from huge pumpkin,scale,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,5,target,capacity,pos,TCP,3,3,1,adult-like,from this big basket,scale,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,6,filler,scale,pos,FSP,2,3,0,opposite,from that big one,,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,7,filler,sameness,neg,FMN,2,3,0,opposite,"from the blue, favorite color",,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,8,target,fit,neg,TFN,1,1,1,adult-like,little bow,random,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,9,target,reach,neg,TRN,3,3,1,adult-like,from that book not really big body,random,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,10,filler,scale,neg,FSN,2,3,0,opposite,from that big hat,,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,11,target,weight,neg,TWN,3,3,1,adult-like,from the big ball,random,0
J,2018-02-11,18,2018-02-10,2012-12-28,5,POS,12,target,capacity,neg,TCN,1,1,1,adult-like,"from the blue cut, my fav",random,0
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,1,target,fit,pos,TFP,3,3,1,adult-like,bc he's big,scale,1
J,2018-02-11,19,2018-02-10,2012-10-18,5,POS,2,target,reach,pos,TRP,1,2,0,middle,?,none,1
